config,equity,bust_rate,win_rate,n_sessions,net_pct
aggressive,1000,0.0159,0.9841,3771,-69.09588305604328
aggressive,2500,0.0159,0.9841,3771,-69.09588305604343
aggressive,5000,0.0159,0.9841,3771,-69.09588305604343
aggressive,10000,0.0159,0.9841,3771,-69.09588305604343
aggressive,25000,0.0159,0.9841,3771,-69.09588305604332
conservative,1000,0.0957,0.9043,4161,-32.20100504578544
conservative,2500,0.0957,0.9043,4161,-32.2010050457862
conservative,5000,0.0957,0.9043,4161,-32.2010050457862
conservative,10000,0.0957,0.9043,4161,-32.2010050457862
conservative,25000,0.0957,0.9043,4161,-32.20100504578551
