session,levels,pnl,is_bust,outcome,peak_margin,peak_equity_pct,opened_at,closed_at,trade_count
1,1,-0.163869,False,tp_hit,149.85,1.5,1577940960000.0,1577975040000.0,2
2,2,2.106555,False,tp_hit,349.36,3.5,1577983260000.0,1578036060000.0,3
3,2,2.298929,False,tp_hit,350.67,3.5,1578063660000.0,1578301320000.0,3
4,0,2.683962,False,tp_hit,50.05,0.5,1578301380000.0,1578308760000.0,1
5,1,-0.148251,False,tp_hit,149.9,1.5,1578322320000.0,1578405300000.0,2
6,0,2.689109,False,tp_hit,49.98,0.5,1578405300000.0,1578410580000.0,1
7,2,2.229272,False,tp_hit,349.76,3.5,1578471240000.0,1578488280000.0,3
8,0,2.701537,False,tp_hit,50.07,0.5,1578488280000.0,1578584460000.0,1
9,3,-1.21013,False,tp_hit,752.58,7.5,1578670800000.0,1578906240000.0,4
10,4,1.09224,False,tp_hit,1554.33,15.6,1579068660000.0,1579098000000.0,5
11,0,2.691424,False,tp_hit,50.06,0.5,1579098120000.0,1579187580000.0,1
12,1,-0.288069,False,tp_hit,149.81,1.5,1579256880000.0,1579268760000.0,2
13,5,-5.655281,False,tp_hit,3148.38,31.7,1579786980000.0,1579789320000.0,6
14,0,2.710799,False,tp_hit,49.98,0.5,1579789500000.0,1579793280000.0,1
15,0,2.71579,False,tp_hit,50.01,0.5,1579793400000.0,1579860240000.0,1
16,1,-0.206079,False,tp_hit,149.94,1.5,1580117400000.0,1580288820000.0,2
17,1,-0.226423,False,tp_hit,150.5,1.5,1580327400000.0,1580407140000.0,2
18,2,2.309655,False,tp_hit,350.91,3.5,1580471760000.0,1580481720000.0,3
19,0,2.714307,False,tp_hit,50.08,0.5,1580481780000.0,1580486460000.0,1
20,0,2.709141,False,tp_hit,50.05,0.5,1580486580000.0,1580720220000.0,1
21,0,2.714719,False,tp_hit,50.05,0.5,1580720280000.0,1580741520000.0,1
22,1,-0.275087,False,tp_hit,149.91,1.5,1580895360000.0,1580912700000.0,2
23,0,2.730629,False,tp_hit,50.06,0.5,1580912760000.0,1581002220000.0,1
24,0,2.736997,False,tp_hit,50.06,0.5,1581002280000.0,1581066000000.0,1
25,0,2.743437,False,tp_hit,50.13,0.5,1581066060000.0,1581342780000.0,1
26,0,2.749881,False,tp_hit,50.08,0.5,1581342900000.0,1581351720000.0,1
27,0,2.75628,False,tp_hit,50.11,0.5,1581351900000.0,1581428160000.0,1
28,0,2.76188,False,tp_hit,50.19,0.5,1581428160000.0,1581430920000.0,1
29,0,2.757478,False,tp_hit,50.16,0.5,1581431160000.0,1581519900000.0,1
30,1,-0.188343,False,tp_hit,150.27,1.5,1581527700000.0,1581595140000.0,2
31,3,-1.270109,False,tp_hit,751.71,7.5,1581697260000.0,1582028820000.0,4
32,0,2.782116,False,tp_hit,50.11,0.5,1582028880000.0,1582032960000.0,1
33,0,2.788249,False,tp_hit,50.22,0.5,1582033080000.0,1582040220000.0,1
34,0,2.78379,False,tp_hit,50.17,0.5,1582040280000.0,1582054740000.0,1
35,0,2.790689,False,tp_hit,50.25,0.5,1582054980000.0,1582207560000.0,1
36,4,0.661849,False,tp_hit,1559.57,15.6,1582296120000.0,1582296540000.0,5
37,2,1.466453,False,tp_hit,350.94,3.5,1582495260000.0,1582528140000.0,3
38,0,2.787475,False,tp_hit,50.26,0.5,1582528380000.0,1582534920000.0,1
39,0,2.781301,False,tp_hit,50.21,0.5,1582534980000.0,1582537800000.0,1
40,1,-0.243827,False,tp_hit,151.1,1.5,1582554420000.0,1582557000000.0,2
41,2,2.384346,False,tp_hit,352.29,3.5,1582645800000.0,1582647480000.0,3
42,0,2.771985,False,tp_hit,50.3,0.5,1582647540000.0,1582719120000.0,1
43,1,-0.291282,False,tp_hit,150.38,1.5,1582720980000.0,1582724880000.0,2
44,0,2.777712,False,tp_hit,50.32,0.5,1582724940000.0,1582734120000.0,1
45,0,2.7729,False,tp_hit,50.33,0.5,1582734240000.0,1582762020000.0,1
46,1,-0.286488,False,tp_hit,151.26,1.5,1582790820000.0,1582794000000.0,2
47,1,-0.219228,False,tp_hit,151.27,1.5,1582807680000.0,1582815900000.0,2
48,2,2.256694,False,tp_hit,352.68,3.5,1582828680000.0,1582877400000.0,3
49,2,2.186666,False,tp_hit,351.35,3.5,1582889340000.0,1582890840000.0,3
50,0,2.746671,False,tp_hit,50.3,0.5,1582891080000.0,1582896540000.0,1
51,2,2.238281,False,tp_hit,352.91,3.5,1582901880000.0,1582906140000.0,3
52,1,-0.334667,False,tp_hit,151.41,1.5,1582918260000.0,1582918680000.0,2
53,0,2.738658,False,tp_hit,50.37,0.5,1582918680000.0,1583103660000.0,1
54,0,2.731242,False,tp_hit,50.35,0.5,1583103780000.0,1583107800000.0,1
55,3,-1.370348,False,tp_hit,756.98,7.5,1583133720000.0,1583136480000.0,4
56,1,-0.34023,False,tp_hit,151.45,1.5,1583148720000.0,1583150820000.0,2
57,0,2.715,False,tp_hit,50.3,0.5,1583150880000.0,1583152380000.0,1
58,1,-0.242074,False,tp_hit,151.41,1.5,1583155020000.0,1583156220000.0,2
59,0,2.711086,False,tp_hit,50.36,0.5,1583156280000.0,1583156820000.0,1
60,0,2.714092,False,tp_hit,50.37,0.5,1583156880000.0,1583158020000.0,1
61,3,-1.093147,False,tp_hit,757.46,7.5,1583164620000.0,1583166840000.0,4
62,0,2.710756,False,tp_hit,50.43,0.5,1583167080000.0,1583169120000.0,1
63,0,2.706765,False,tp_hit,50.43,0.5,1583169180000.0,1583181300000.0,1
64,3,-1.463305,False,tp_hit,754.89,7.5,1583219640000.0,1583225340000.0,4
65,5,-5.430154,False,tp_hit,1561.9,15.6,1583247660000.0,1583247660000.0,6
66,0,2.716115,False,tp_hit,50.52,0.5,1583247720000.0,1583247900000.0,1
67,1,-0.237859,False,tp_hit,151.43,1.5,1583248620000.0,1583248800000.0,2
68,1,-0.376062,False,tp_hit,150.9,1.5,1583249460000.0,1583251920000.0,2
69,6,-7.046104,False,tp_hit,6392.17,64.7,1583312700000.0,1583319180000.0,7
