session,levels,pnl,is_bust,outcome,peak_margin,peak_equity_pct,opened_at,closed_at,trade_count
79,6,-237.817049,True,max_level_bust,6372.61,64.4,1583527860000.0,1583701260000.0,7
98,6,-230.31713,True,max_level_bust,6231.76,64.9,1583784360000.0,1583786220000.0,7
154,6,-271.03225,True,max_level_bust,6084.44,65.1,1584310020000.0,1584310320000.0,7
176,6,-228.802454,True,max_level_bust,5912.9,64.9,1584464220000.0,1584464940000.0,7
197,6,-229.915063,True,max_level_bust,5782.82,65.0,1584588900000.0,1584598560000.0,7
217,6,-246.678701,True,max_level_bust,5634.68,65.2,1584652560000.0,1584652920000.0,7
369,6,-214.348521,True,max_level_bust,5562.13,64.9,1587553260000.0,1587563520000.0,7
466,6,-214.944308,True,max_level_bust,5454.46,65.1,1591567260000.0,1591572720000.0,7
496,6,-199.537277,True,max_level_bust,5327.49,65.0,1592204280000.0,1592207760000.0,7
571,6,-193.218111,True,max_level_bust,5245.77,64.9,1595334660000.0,1595337120000.0,7
575,6,-187.355045,True,max_level_bust,5122.85,64.9,1595403000000.0,1595410800000.0,7
582,6,-180.80613,True,max_level_bust,5011.84,64.7,1595576940000.0,1595578260000.0,7
592,6,-176.159687,True,max_level_bust,4894.7,64.9,1595966340000.0,1595990880000.0,7
836,6,-174.200154,True,max_level_bust,4897.71,64.9,1604624220000.0,1604632800000.0,7
846,6,-169.752879,True,max_level_bust,4799.03,64.7,1604996460000.0,1605001500000.0,7
976,6,-164.411409,True,max_level_bust,4745.81,64.8,1611548880000.0,1611565500000.0,7
1101,6,-162.445798,True,max_level_bust,4679.38,64.5,1619619180000.0,1619632860000.0,7
1143,6,-156.666946,True,max_level_bust,4585.12,64.8,1622125380000.0,1622129280000.0,7
1146,6,-153.61493,True,max_level_bust,4482.17,64.8,1622454120000.0,1622469600000.0,7
1175,6,-179.777705,True,max_level_bust,4400.34,65.1,1624226280000.0,1624245840000.0,7
1218,6,-152.259457,True,max_level_bust,4307.99,64.7,1628080560000.0,1628086020000.0,7
1236,6,-150.227966,True,max_level_bust,1028.1,15.6,1630072860000.0,1630072860000.0,7
1260,6,-146.711181,True,max_level_bust,4130.6,64.8,1632319980000.0,1632333660000.0,7
1286,6,-146.337511,True,max_level_bust,4051.33,64.9,1635131520000.0,1635153660000.0,7
1288,6,-143.134659,True,max_level_bust,3950.66,64.9,1635346620000.0,1635354300000.0,7
1322,6,-144.653813,True,max_level_bust,3863.5,64.9,1637656320000.0,1637667120000.0,7
1385,6,-140.806211,True,max_level_bust,3792.69,65.0,1640930520000.0,1640942040000.0,7
1464,6,-136.997563,True,max_level_bust,3726.93,64.7,1645109280000.0,1645110240000.0,7
1560,6,-148.41014,True,max_level_bust,898.37,15.5,1646906100000.0,1646906100000.0,7
1593,6,-138.140399,True,max_level_bust,3604.4,65.0,1647511320000.0,1647514620000.0,7
1701,6,-143.876246,True,max_level_bust,3552.81,65.1,1651186380000.0,1651191000000.0,7
1875,6,-140.781517,True,max_level_bust,3513.84,65.1,1655744220000.0,1655773680000.0,7
1896,6,-138.238908,True,max_level_bust,3427.07,65.1,1656505440000.0,1656507000000.0,7
1917,6,-138.330548,True,max_level_bust,3347.22,65.1,1657186620000.0,1657191480000.0,7
1938,6,-137.821303,True,max_level_bust,3256.5,65.1,1657718580000.0,1657719660000.0,7
1963,6,-131.090162,True,max_level_bust,3184.56,65.0,1658240820000.0,1658241360000.0,7
2108,6,-132.358495,True,max_level_bust,3134.9,65.2,1662126060000.0,1662129660000.0,7
2189,6,-131.892363,True,max_level_bust,3081.74,65.0,1663938300000.0,1663940760000.0,7
2192,6,-152.648453,True,max_level_bust,2996.11,65.5,1664141280000.0,1664143560000.0,7
2255,6,-125.442296,True,max_level_bust,2921.68,65.2,1664849520000.0,1664852340000.0,7
2292,6,-123.573889,True,max_level_bust,2858.8,65.4,1665598260000.0,1665644520000.0,7
2471,6,-114.433912,True,max_level_bust,2815.19,65.0,1668609780000.0,1668614820000.0,7
2514,6,-112.063878,True,max_level_bust,2756.11,65.1,1669715340000.0,1669716720000.0,7
