equity,sf,level,target_units,rounded_units,error_pct
1000,1.5,0,4.545454545454545,5,10.000000000000012
1000,1.5,1,6.8181818181818175,7,2.6666666666666776
1000,1.5,2,10.227272727272727,10,-2.222222222222216
1000,1.5,3,15.34090909090909,15,-2.222222222222216
1000,1.5,4,23.011363636363633,23,-0.04938271604936869
1000,1.5,5,34.51704545454545,35,1.3991769547325141
1000,1.5,6,51.77556818181818,52,0.4334705075445854
1000,1.5,7,77.66335227272727,78,0.43347050754459
1000,1.5,8,116.4950284090909,116,-0.4249352232891306
1000,2.0,0,4.545454545454545,5,10.000000000000012
1000,2.0,1,9.09090909090909,9,-0.9999999999999895
1000,2.0,2,18.18181818181818,18,-0.9999999999999895
1000,2.0,3,36.36363636363636,36,-0.9999999999999895
1000,2.0,4,72.72727272727272,73,0.3750000000000107
1000,2.0,5,145.45454545454544,145,-0.3124999999999894
1000,2.0,6,290.9090909090909,291,0.031250000000010665
1000,2.0,7,581.8181818181818,582,0.031250000000010665
1000,2.0,8,1163.6363636363635,1164,0.031250000000010665
1000,2.5,0,4.545454545454545,5,10.000000000000012
1000,2.5,1,11.363636363636363,11,-3.1999999999999975
1000,2.5,2,28.409090909090907,28,-1.439999999999991
1000,2.5,3,71.02272727272727,71,-0.031999999999990904
1000,2.5,4,177.55681818181816,178,0.24960000000001314
1000,2.5,5,443.89204545454544,444,0.024320000000003495
1000,2.5,6,1109.7301136363635,1110,0.02432000000001118
1000,2.5,7,2774.325284090909,2774,-0.01172479999999702
1000,2.5,8,6935.813210227272,6936,0.002693120000009537
2500,1.5,0,11.363636363636363,11,-3.1999999999999975
2500,1.5,1,17.045454545454543,17,-0.26666666666665345
2500,1.5,2,25.568181818181817,26,1.6888888888888953
2500,1.5,3,38.35227272727273,38,-0.9185185185185167
2500,1.5,4,57.528409090909086,58,0.8197530864197611
2500,1.5,5,86.29261363636363,86,-0.33909465020574936
2500,1.5,6,129.43892045454544,129,-0.33909465020574936
2500,1.5,7,194.15838068181816,194,-0.08157293095563503
2500,1.5,8,291.23757102272725,291,-0.08157293095563992
2500,2.0,0,11.363636363636363,11,-3.1999999999999975
2500,2.0,1,22.727272727272727,23,1.2000000000000028
2500,2.0,2,45.45454545454545,45,-0.9999999999999972
2500,2.0,3,90.9090909090909,91,0.10000000000000284
2500,2.0,4,181.8181818181818,182,0.10000000000000284
2500,2.0,5,363.6363636363636,364,0.10000000000000284
2500,2.0,6,727.2727272727273,727,-0.03749999999999716
2500,2.0,7,1454.5454545454545,1455,0.03125000000000284
2500,2.0,8,2909.090909090909,2909,-0.0031249999999971583
2500,2.5,0,11.363636363636363,11,-3.1999999999999975
2500,2.5,1,28.409090909090907,28,-1.439999999999991
2500,2.5,2,71.02272727272727,71,-0.031999999999990904
2500,2.5,3,177.55681818181816,178,0.24960000000001314
2500,2.5,4,443.89204545454544,444,0.024320000000003495
2500,2.5,5,1109.7301136363635,1110,0.02432000000001118
2500,2.5,6,2774.325284090909,2774,-0.01172479999999702
2500,2.5,7,6935.813210227272,6936,0.002693120000009537
2500,2.5,8,17339.53302556818,17340,0.002693120000009537
5000,1.5,0,22.727272727272727,23,1.2000000000000028
5000,1.5,1,34.090909090909086,34,-0.26666666666665345
5000,1.5,2,51.13636363636363,51,-0.2666666666666604
5000,1.5,3,76.70454545454545,77,0.3851851851851869
5000,1.5,4,115.05681818181817,115,-0.04938271604937486
5000,1.5,5,172.58522727272725,173,0.2403292181070079
5000,1.5,6,258.8778409090909,259,0.04718792866942213
5000,1.5,7,388.3167613636363,388,-0.08157293095563503
5000,1.5,8,582.4751420454545,582,-0.08157293095563992
5000,2.0,0,22.727272727272727,23,1.2000000000000028
5000,2.0,1,45.45454545454545,45,-0.9999999999999972
5000,2.0,2,90.9090909090909,91,0.10000000000000284
5000,2.0,3,181.8181818181818,182,0.10000000000000284
5000,2.0,4,363.6363636363636,364,0.10000000000000284
5000,2.0,5,727.2727272727273,727,-0.03749999999999716
5000,2.0,6,1454.5454545454545,1455,0.03125000000000284
5000,2.0,7,2909.090909090909,2909,-0.0031249999999971583
5000,2.0,8,5818.181818181818,5818,-0.0031249999999971583
5000,2.5,0,22.727272727272727,23,1.2000000000000028
5000,2.5,1,56.81818181818181,57,0.3200000000000091
5000,2.5,2,142.04545454545453,142,-0.031999999999990904
5000,2.5,3,355.1136363636363,355,-0.03199999999998691
5000,2.5,4,887.7840909090909,888,0.024320000000003495
5000,2.5,5,2219.460227272727,2219,-0.020735999999988826
5000,2.5,6,5548.650568181818,5549,0.006297600000002981
5000,2.5,7,13871.626420454544,13872,0.002693120000009537
5000,2.5,8,34679.06605113636,34679,-0.00019046399999046327
10000,1.5,0,45.45454545454545,45,-0.9999999999999972
10000,1.5,1,68.18181818181817,68,-0.26666666666665345
10000,1.5,2,102.27272727272727,102,-0.2666666666666604
10000,1.5,3,153.4090909090909,153,-0.26666666666666494
10000,1.5,4,230.11363636363635,230,-0.04938271604937486
10000,1.5,5,345.1704545454545,345,-0.04938271604937075
10000,1.5,6,517.7556818181818,518,0.04718792866942213
10000,1.5,7,776.6335227272726,777,0.04718792866942213
10000,1.5,8,1164.950284090909,1165,0.0042676421277315305
10000,2.0,0,45.45454545454545,45,-0.9999999999999972
10000,2.0,1,90.9090909090909,91,0.10000000000000284
10000,2.0,2,181.8181818181818,182,0.10000000000000284
10000,2.0,3,363.6363636363636,364,0.10000000000000284
10000,2.0,4,727.2727272727273,727,-0.03749999999999716
10000,2.0,5,1454.5454545454545,1455,0.03125000000000284
10000,2.0,6,2909.090909090909,2909,-0.0031249999999971583
10000,2.0,7,5818.181818181818,5818,-0.0031249999999971583
10000,2.0,8,11636.363636363636,11636,-0.0031249999999971583
10000,2.5,0,45.45454545454545,45,-0.9999999999999972
10000,2.5,1,113.63636363636363,114,0.3200000000000091
